date,base,quote,rate
2026-08-17,USD,AED,3.6725
2026-08-17,USD,AFN,65.203
2026-08-17,USD,ALL,80.08
2026-08-17,USD,AMD,365.71
2026-08-17,USD,ANG,1.79
2026-08-17,USD,AOA,916.44
2026-08-17,USD,ARS,1488.47
2026-08-17,USD,AUD,1.4106
2026-08-17,USD,AWG,1.7888
2026-08-17,USD,AZN,1.6993
2026-08-17,USD,BAM,1.688
2026-08-17,USD,BBD,2.0362
2026-08-17,USD,BDT,122.83
2026-08-17,USD,BHD,0.376
2026-08-17,USD,BIF,2996.36
2026-08-17,USD,BMD,1.0
2026-08-17,USD,BND,1.278
2026-08-17,USD,BOB,11.6209
2026-08-17,USD,BRL,5.205
2026-08-17,USD,BSD,1.012
2026-08-17,USD,BTN,95.47
2026-08-17,USD,BWP,13.3516
2026-08-17,USD,BYN,2.9997
2026-08-17,USD,BZD,2.0358
2026-08-17,USD,CAD,1.3873
2026-08-17,USD,CDF,2269.11
2026-08-17,USD,CHF,0.81131
2026-08-17,USD,CLP,914.42
2026-08-17,USD,CNH,6.7377
2026-08-17,USD,CNY,6.7376
2026-08-17,USD,COP,3134.14
2026-08-17,USD,CRC,449.16
2026-08-17,USD,CUP,24.0
2026-08-17,USD,CVE,95.16
2026-08-17,USD,CZK,20.911
2026-08-17,USD,DJF,176.89
2026-08-17,USD,DKK,6.4572
2026-08-17,USD,DOP,59.561
2026-08-17,USD,DZD,132.8
2026-08-17,USD,EGP,50.236
2026-08-17,USD,ERN,15.2807
2026-08-17,USD,ETB,160.58
2026-08-17,USD,EUR,0.86304
2026-08-17,USD,FJD,2.2174
2026-08-17,USD,FKP,0.73842
2026-08-17,USD,GBP,0.73842
2026-08-17,USD,GEL,2.6106
2026-08-17,USD,GGP,0.73842
2026-08-17,USD,GHS,10.9439
2026-08-17,USD,GIP,0.74681
2026-08-17,USD,GMD,72.596
2026-08-17,USD,GNF,8114
2026-08-17,USD,GTQ,7.6196
2026-08-17,USD,GYD,211.88
2026-08-17,USD,HKD,7.8536
2026-08-17,USD,HNL,26.795
2026-08-17,USD,HTG,130.45
2026-08-17,USD,HUF,313.17
2026-08-17,USD,IDR,17821
2026-08-17,USD,ILS,2.9506
