Top 30 Markets by Region — selected by GDP / population / market development,,,,,,
,,,,,,
Country Code,UCAN,LATAM,EMEA,APAC,,Country
CA,$100.92,#N/A,#N/A,#N/A,,Canada
US,$55.00,#N/A,#N/A,#N/A,,United States of America
CO,#N/A,$79.77,#N/A,#N/A,,Colombia
GT,#N/A,$66.93,#N/A,#N/A,,Guatemala
MX,#N/A,$61.43,#N/A,#N/A,,Mexico
CL,#N/A,$51.40,#N/A,#N/A,,Chile
PE,#N/A,$50.28,#N/A,#N/A,,Peru
DO,#N/A,$48.69,#N/A,#N/A,,Dominican Republic
AR,#N/A,$37.69,#N/A,#N/A,,Argentina
BR,#N/A,$35.35,#N/A,#N/A,,Brazil
GB,#N/A,#N/A,$101.57,#N/A,,United Kingdom
PL,#N/A,#N/A,$90.04,#N/A,,Poland
GH,#N/A,#N/A,$70.36,#N/A,,Ghana
CH,#N/A,#N/A,$61.63,#N/A,,Switzerland
SE,#N/A,#N/A,$58.79,#N/A,,Sweden
DE,#N/A,#N/A,$57.93,#N/A,,Germany
NL,#N/A,#N/A,$57.93,#N/A,,Netherlands
FR,#N/A,#N/A,$46.35,#N/A,,France
IT,#N/A,#N/A,$46.35,#N/A,,Italy
ES,#N/A,#N/A,$46.35,#N/A,,Spain
KE,#N/A,#N/A,$34.85,#N/A,,Kenya
NG,#N/A,#N/A,$28.01,#N/A,,Nigeria
AU,#N/A,#N/A,#N/A,$98.54,,Australia
SG,#N/A,#N/A,#N/A,$86.07,,Singapore
MY,#N/A,#N/A,#N/A,$53.97,,Malaysia
NZ,#N/A,#N/A,#N/A,$46.59,,New Zealand
LK,#N/A,#N/A,#N/A,$45.19,,Sri Lanka
PH,#N/A,#N/A,#N/A,$43.94,,Philippines
ID,#N/A,#N/A,#N/A,$42.09,,Indonesia
JP,#N/A,#N/A,#N/A,$41.44,,Japan
